monotonic_us,timestamp_us,lat,lon,alt,roll,pitch,yaw,vel_x,vel_y,vel_z
402525623,1761936371906102,0.000000000,0.000000000,0.000,1.421727,0.065478,-0.901278,0.000000,0.000000,0.000000
402532654,1761936371913134,0.000000000,0.000000000,0.000,1.421717,0.065481,-0.901275,0.000000,0.000000,0.000000
402539603,1761936371920083,0.000000000,0.000000000,0.000,1.421719,0.065482,-0.901285,0.000000,0.000000,0.000000
402546644,1761936371927123,0.000000000,0.000000000,0.000,1.421709,0.065481,-0.901279,0.000000,0.000000,0.000000
402553530,1761936371934009,0.000000000,0.000000000,0.000,1.421705,0.065485,-0.901276,0.000000,0.000000,0.000000
402560625,1761936371941104,0.000000000,0.000000000,0.000,1.421693,0.065478,-0.901268,0.000000,0.000000,0.000000
402567504,1761936371947983,0.000000000,0.000000000,0.000,1.421695,0.065478,-0.901264,0.000000,0.000000,0.000000
402574709,1761936371955188,0.000000000,0.000000000,0.000,1.421706,0.065473,-0.901249,0.000000,0.000000,0.000000
402581596,1761936371962075,0.000000000,0.000000000,0.000,1.421697,0.065474,-0.901247,0.000000,0.000000,0.000000
402588543,1761936371969022,0.000000000,0.000000000,0.000,1.421694,0.065475,-0.901247,0.000000,0.000000,0.000000
402595595,1761936371976074,0.000000000,0.000000000,0.000,1.421694,0.065475,-0.901251,0.000000,0.000000,0.000000
402602480,1761936371982959,0.000000000,0.000000000,0.000,1.421689,0.065484,-0.901260,0.000000,0.000000,0.000000
402609524,1761936371990004,0.000000000,0.000000000,0.000,1.421690,0.065486,-0.901259,0.000000,0.000000,0.000000
402616559,1761936371997038,0.000000000,0.000000000,0.000,1.421681,0.065493,-0.901253,0.000000,0.000000,0.000000
402623604,1761936372004083,0.000000000,0.000000000,0.000,1.421675,0.065487,-0.901249,0.000000,0.000000,0.000000
402630529,1761936372011008,0.000000000,0.000000000,0.000,1.421681,0.065480,-0.901261,0.000000,0.000000,0.000000
402637572,1761936372018051,0.000000000,0.000000000,0.000,1.421674,0.065480,-0.901258,0.000000,0.000000,0.000000
402644485,1761936372024964,0.000000000,0.000000000,0.000,1.421689,0.065484,-0.901274,0.000000,0.000000,0.000000
402651519,1761936372031999,0.000000000,0.000000000,0.000,1.421693,0.065481,-0.901282,0.000000,0.000000,0.000000
402658567,1761936372039046,0.000000000,0.000000000,0.000,1.421683,0.065492,-0.901278,0.000000,0.000000,0.000000
402665548,1761936372046027,0.000000000,0.000000000,0.000,1.421681,0.065497,-0.901276,0.000000,0.000000,0.000000
402672578,1761936372053058,0.000000000,0.000000000,0.000,1.421695,0.065496,-0.901275,0.000000,0.000000,0.000000
402679624,1761936372060103,0.000000000,0.000000000,0.000,1.421695,0.065488,-0.901274,0.000000,0.000000,0.000000
402686495,1761936372066974,0.000000000,0.000000000,0.000,1.421702,0.065479,-0.901262,0.000000,0.000000,0.000000
402693614,1761936372074093,0.000000000,0.000000000,0.000,1.421705,0.065486,-0.901258,0.000000,0.000000,0.000000
402700529,1761936372081008,0.000000000,0.000000000,0.000,1.421701,0.065483,-0.901261,0.000000,0.000000,0.000000
402707572,1761936372088052,0.000000000,0.000000000,0.000,1.421697,0.065488,-0.901270,0.000000,0.000000,0.000000
402714609,1761936372095088,0.000000000,0.000000000,0.000,1.421715,0.065484,-0.901275,0.000000,0.000000,0.000000
402721493,1761936372101972,0.000000000,0.000000000,0.000,1.421721,0.065487,-0.901274,0.000000,0.000000,0.000000
402728526,1761936372109005,0.000000000,0.000000000,0.000,1.421717,0.065477,-0.901265,0.000000,0.000000,0.000000
402735560,1761936372116039,0.000000000,0.000000000,0.000,1.421714,0.065472,-0.901266,0.000000,0.000000,0.000000
402742490,1761936372122969,0.000000000,0.000000000,0.000,1.421709,0.065472,-0.901262,0.000000,0.000000,0.000000
402749523,1761936372130002,0.000000000,0.000000000,0.000,1.421702,0.065471,-0.901263,0.000000,0.000000,0.000000
402756555,1761936372137035,0.000000000,0.000000000,0.000,1.421716,0.065464,-0.901256,0.000000,0.000000,0.000000
402763605,1761936372144084,0.000000000,0.000000000,0.000,1.421709,0.065465,-0.901255,0.000000,0.000000,0.000000
402770505,1761936372150984,0.000000000,0.000000000,0.000,1.421718,0.065463,-0.901250,0.000000,0.000000,0.000000
402777537,1761936372158017,0.000000000,0.000000000,0.000,1.421725,0.065466,-0.901251,0.000000,0.000000,0.000000
402784567,1761936372165046,0.000000000,0.000000000,0.000,1.421731,0.065454,-0.901243,0.000000,0.000000,0.000000
402791501,1761936372171980,0.000000000,0.000000000,0.000,1.421737,0.065456,-0.901244,0.000000,0.000000,0.000000
402798624,1761936372179103,0.000000000,0.000000000,0.000,1.421747,0.065455,-0.901235,0.000000,0.000000,0.000000
402805533,1761936372186012,0.000000000,0.000000000,0.000,1.421737,0.065452,-0.901227,0.000000,0.000000,0.000000
402812602,1761936372193081,0.000000000,0.000000000,0.000,1.421732,0.065456,-0.901227,0.000000,0.000000,0.000000
402819613,1761936372200092,0.000000000,0.000000000,0.000,1.421734,0.065461,-0.901236,0.000000,0.000000,0.000000
402826725,1761936372207204,0.000000000,0.000000000,0.000,1.421737,0.065448,-0.901234,0.000000,0.000000,0.000000
402833618,1761936372214098,0.000000000,0.000000000,0.000,1.421732,0.065457,-0.901232,0.000000,0.000000,0.000000
402840624,1761936372221103,0.000000000,0.000000000,0.000,1.421743,0.065442,-0.901234,0.000000,0.000000,0.000000
402847628,1761936372228107,0.000000000,0.000000000,0.000,1.421736,0.065437,-0.901233,0.000000,0.000000,0.000000
402854752,1761936372235231,0.000000000,0.000000000,0.000,1.421730,0.065432,-0.901237,0.000000,0.000000,0.000000
402861627,1761936372242106,0.000000000,0.000000000,0.000,1.421736,0.065422,-0.901229,0.000000,0.000000,0.000000
402868511,1761936372248990,0.000000000,0.000000000,0.000,1.421740,0.065422,-0.901232,0.000000,0.000000,0.000000
402875503,1761936372255982,0.000000000,0.000000000,0.000,1.421731,0.065427,-0.901241,0.000000,0.000000,0.000000
402882602,1761936372263081,0.000000000,0.000000000,0.000,1.421731,0.065441,-0.901243,0.000000,0.000000,0.000000
402889582,1761936372270061,0.000000000,0.000000000,0.000,1.421733,0.065445,-0.901243,0.000000,0.000000,0.000000
402896519,1761936372276998,0.000000000,0.000000000,0.000,1.421748,0.065438,-0.901228,0.000000,0.000000,0.000000
402903596,1761936372284075,0.000000000,0.000000000,0.000,1.421739,0.065437,-0.901218,0.000000,0.000000,0.000000
402910598,1761936372291077,0.000000000,0.000000000,0.000,1.421746,0.065427,-0.901207,0.000000,0.000000,0.000000
402917563,1761936372298042,0.000000000,0.000000000,0.000,1.421752,0.065431,-0.901208,0.000000,0.000000,0.000000
402924499,1761936372304978,0.000000000,0.000000000,0.000,1.421768,0.065433,-0.901206,0.000000,0.000000,0.000000
402931534,1761936372312013,0.000000000,0.000000000,0.000,1.421771,0.065432,-0.901208,0.000000,0.000000,0.000000
