timestamp,pqr_x,pqr_y,pqr_z,acc_x,acc_y,acc_z
1760391187265746,-0.001386,-0.001458,0.001888,0.410027,-5.551652,-7.981609
1760391187266705,-0.002983,-0.003548,-0.000974,0.416226,-5.535661,-7.976827
1760391187267673,-0.001731,-0.003135,-0.003034,0.413095,-5.546812,-7.967310
1760391187268631,-0.002996,-0.000211,0.002269,0.421010,-5.548330,-7.960838
1760391187269747,-0.001715,-0.000662,-0.004677,0.419562,-5.550036,-7.981542
1760391187270705,0.000690,-0.001890,-0.000558,0.400335,-5.543656,-7.975326
1760391187271664,0.001911,0.001407,-0.002199,0.408341,-5.545248,-7.979997
1760391187272780,-0.004227,-0.001045,0.000229,0.401961,-5.543622,-7.973752
1760391187273738,0.001881,-0.001875,0.001485,0.406820,-5.557996,-7.981552
1760391187274707,0.001897,0.000215,0.001890,0.414636,-5.554739,-7.959295
1760391187275665,0.001898,0.003512,0.001864,0.394120,-5.545217,-7.975446
1760391187276623,-0.000114,-0.001065,-0.000565,0.419524,-5.534044,-7.980039
1760391187277740,0.000689,-0.000216,-0.000153,0.425874,-5.543610,-7.979928
1760391187278699,0.000737,-0.004353,-0.002200,0.416197,-5.559516,-7.960783
1760391187279657,-0.004607,-0.001084,-0.001837,0.422844,-5.561172,-7.979906
1760391187280626,-0.000111,0.000178,0.000673,0.414654,-5.535615,-7.959417
1760391187281752,-0.000497,0.004299,-0.003856,0.419431,-5.538805,-7.959336
1760391187282711,0.000293,-0.004368,-0.001372,0.414618,-5.534032,-7.961040
1760391187283669,0.002731,-0.001883,-0.001367,0.402056,-5.561160,-7.975259
1760391187284627,0.001083,-0.002282,0.001495,0.414758,-5.554872,-7.984704
1760391187285743,-0.000950,-0.001901,-0.000150,0.419563,-5.564374,-7.981421
1760391187286703,-0.002554,-0.001073,-0.003456,0.402122,-5.567589,-7.980009
1760391187287661,0.003542,-0.001480,-0.000132,0.406847,-5.553170,-7.975248
1760391187288628,-0.000516,-0.003102,-0.000568,0.410021,-5.548409,-7.972122
1760391187289745,0.000289,-0.002302,0.000263,0.416328,-5.542018,-7.975290
1760391187290703,-0.000098,-0.000651,-0.003441,0.417903,-5.548351,-7.960977
1760391187291661,0.002732,0.002263,0.001488,0.414625,-5.540402,-7.964137
1760391187292619,0.000683,-0.003110,-0.000142,0.416239,-5.549980,-7.960906
1760391187293735,0.000260,-0.003095,-0.000972,0.402005,-5.543634,-7.972209
1760391187294694,-0.000494,-0.001486,-0.003844,0.419457,-5.545223,-7.965708
1760391187295662,-0.000906,-0.001883,-0.002221,0.406713,-5.543645,-7.967406
1760391187296666,-0.000938,-0.001066,-0.000162,0.403625,-5.553222,-7.972122
1760391187297624,0.001894,0.001421,0.000662,0.422526,-5.543604,-7.957690
1760391187298741,0.002329,-0.001460,-0.000965,0.417863,-5.543594,-7.976785
1760391187299699,-0.002160,0.003059,-0.002233,0.400366,-5.556394,-7.968966
1760391187300657,0.000299,0.000991,-0.003017,0.414506,-5.545141,-7.948173
1760391187301625,-0.000520,-0.003119,-0.000572,0.416317,-5.545237,-7.970501
