monotonic_us,timestamp_us,lat_deg,lon_deg,week,timeOfWeek_s,insStatus,hdwStatus,alt_m,roll_rad,pitch_rad,yaw_rad,vel_U_m_s,vel_V_m_s,vel_W_m_s,ned_N_m,ned_E_m,ned_D_m
682771,1763331363095012,0.000000000,0.000000000,1,215463.349346,329745,33554432,0.000,1.402975,0.018766,-1.016687,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
689687,1763331363101928,0.000000000,0.000000000,1,215463.356346,329745,33554432,0.000,1.402966,0.018772,-1.016679,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
696662,1763331363108904,0.000000000,0.000000000,1,215463.363346,329745,33554432,0.000,1.402963,0.018779,-1.016680,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
703780,1763331363116022,0.000000000,0.000000000,1,215463.370346,329745,33554432,0.000,1.402968,0.018776,-1.016683,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
710760,1763331363123001,0.000000000,0.000000000,1,215463.377346,329745,33554432,0.000,1.402971,0.018779,-1.016685,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
717620,1763331363129862,0.000000000,0.000000000,1,215463.384346,329745,33554432,0.000,1.402963,0.018787,-1.016674,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
724760,1763331363137002,0.000000000,0.000000000,1,215463.391346,329745,33554432,0.000,1.402973,0.018792,-1.016680,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
731636,1763331363143878,0.000000000,0.000000000,1,215463.398346,329745,33554432,0.000,1.402983,0.018799,-1.016671,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
738654,1763331363150895,0.000000000,0.000000000,1,215463.405346,329745,33554432,0.000,1.402976,0.018802,-1.016675,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
745754,1763331363157996,0.000000000,0.000000000,1,215463.412346,329745,33554432,0.000,1.402979,0.018795,-1.016678,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
752634,1763331363164875,0.000000000,0.000000000,1,215463.419346,329745,33554432,0.000,1.402975,0.018788,-1.016685,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
760779,1763331363173020,0.000000000,0.000000000,1,215463.426346,329745,33554432,0.000,1.402971,0.018794,-1.016672,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
766681,1763331363178923,0.000000000,0.000000000,1,215463.433346,329745,33554432,0.000,1.402979,0.018797,-1.016675,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
773648,1763331363185889,0.000000000,0.000000000,1,215463.440346,329745,33554432,0.000,1.402966,0.018799,-1.016649,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
780637,1763331363192878,0.000000000,0.000000000,1,215463.447346,329745,33554432,0.000,1.402966,0.018795,-1.016651,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
787637,1763331363199879,0.000000000,0.000000000,1,215463.454346,329745,33554432,0.000,1.402961,0.018781,-1.016650,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
794692,1763331363206934,0.000000000,0.000000000,1,215463.461346,329745,33554432,0.000,1.402956,0.018784,-1.016657,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
801666,1763331363213907,0.000000000,0.000000000,1,215463.468346,329745,33554432,0.000,1.402956,0.018785,-1.016653,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
808668,1763331363220909,0.000000000,0.000000000,1,215463.475346,329745,33554432,0.000,1.402955,0.018786,-1.016662,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
815642,1763331363227883,0.000000000,0.000000000,1,215463.482346,329745,33554432,0.000,1.402954,0.018787,-1.016651,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
822627,1763331363234869,0.000000000,0.000000000,1,215463.489346,329745,33554432,0.000,1.402945,0.018793,-1.016651,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
829656,1763331363241897,0.000000000,0.000000000,1,215463.496346,329745,33554432,0.000,1.402948,0.018792,-1.016649,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
836629,1763331363248870,0.000000000,0.000000000,1,215463.503346,329745,33554432,0.000,1.402949,0.018791,-1.016644,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
843747,1763331363255988,0.000000000,0.000000000,1,215463.510346,329745,33554432,0.000,1.402948,0.018797,-1.016633,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
850624,1763331363262865,0.000000000,0.000000000,1,215463.517346,329745,33554432,0.000,1.402945,0.018794,-1.016634,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
857749,1763331363269991,0.000000000,0.000000000,1,215463.524346,329745,33554432,0.000,1.402941,0.018796,-1.016614,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
864724,1763331363276966,0.000000000,0.000000000,1,215463.531346,329745,33554432,0.000,1.402945,0.018794,-1.016609,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
871733,1763331363283974,0.000000000,0.000000000,1,215463.538346,329745,33554432,0.000,1.402946,0.018785,-1.016598,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
878693,1763331363290935,0.000000000,0.000000000,1,215463.545346,329745,33554432,0.000,1.402957,0.018793,-1.016596,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
885671,1763331363297913,0.000000000,0.000000000,1,215463.552346,329745,33554432,0.000,1.402961,0.018799,-1.016602,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
892711,1763331363304952,0.000000000,0.000000000,1,215463.559346,329745,33554432,0.000,1.402959,0.018801,-1.016603,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
899702,1763331363311943,0.000000000,0.000000000,1,215463.566346,329745,33554432,0.000,1.402960,0.018789,-1.016588,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
906727,1763331363318968,0.000000000,0.000000000,1,215463.573346,329745,33554432,0.000,1.402967,0.018788,-1.016592,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
913722,1763331363325964,0.000000000,0.000000000,1,215463.580346,329745,33554432,0.000,1.402979,0.018783,-1.016592,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
920694,1763331363332936,0.000000000,0.000000000,1,215463.587346,329745,33554432,0.000,1.402984,0.018785,-1.016584,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
927667,1763331363339908,0.000000000,0.000000000,1,215463.594346,329745,33554432,0.000,1.402981,0.018774,-1.016590,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
934730,1763331363346972,0.000000000,0.000000000,1,215463.601346,329745,33554432,0.000,1.402985,0.018780,-1.016587,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
941670,1763331363353911,0.000000000,0.000000000,1,215463.608346,329745,33554432,0.000,1.402987,0.018774,-1.016590,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
948645,1763331363360886,0.000000000,0.000000000,1,215463.615346,329745,33554432,0.000,1.402983,0.018770,-1.016591,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
955617,1763331363367858,0.000000000,0.000000000,1,215463.622346,329745,33554432,0.000,1.402982,0.018772,-1.016593,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
962750,1763331363374991,0.000000000,0.000000000,1,215463.629346,329745,33554432,0.000,1.402991,0.018776,-1.016597,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
969765,1763331363382007,0.000000000,0.000000000,1,215463.636346,329745,33554432,0.000,1.402992,0.018783,-1.016586,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
976748,1763331363388989,0.000000000,0.000000000,1,215463.643346,329745,33554432,0.000,1.402992,0.018776,-1.016597,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
983729,1763331363395970,0.000000000,0.000000000,1,215463.650346,329745,33554432,0.000,1.402991,0.018765,-1.016600,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
990752,1763331363402993,0.000000000,0.000000000,1,215463.657346,329745,33554432,0.000,1.402991,0.018768,-1.016609,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
