monotonic_ns,timestamp_ns,lat_deg,lon_deg,week,timeOfWeek_s,insStatus,hdwStatus,alt_m,roll_rad,pitch_rad,yaw_rad,vel_U_m_s,vel_V_m_s,vel_W_m_s,ned_N_m,ned_E_m,ned_D_m
578155800,1763493607276325582,0.000000000,0.000000000,1,377707.165346,329745,33554432,0.000,1.488775,0.037595,-1.117891,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
585210071,1763493607283379853,0.000000000,0.000000000,1,377707.172346,329745,33554433,0.000,1.488790,0.037592,-1.117887,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
592123361,1763493607290293162,0.000000000,0.000000000,1,377707.179346,329745,33554433,0.000,1.488801,0.037594,-1.117883,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
599196206,1763493607297365988,0.000000000,0.000000000,1,377707.186346,329745,33554433,0.000,1.488805,0.037586,-1.117890,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
606075755,1763493607304245538,0.000000000,0.000000000,1,377707.193346,329745,33554432,0.000,1.488814,0.037579,-1.117898,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
613160675,1763493607311330457,0.000000000,0.000000000,1,377707.200346,329745,33554432,0.000,1.488806,0.037575,-1.117891,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
620073150,1763493607318242951,0.000000000,0.000000000,1,377707.207346,329745,33554432,0.000,1.488795,0.037579,-1.117897,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
627142421,1763493607325312185,0.000000000,0.000000000,1,377707.214346,329745,33554432,0.000,1.488786,0.037587,-1.117897,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
634194951,1763493607332364733,0.000000000,0.000000000,1,377707.221346,329745,33554432,0.000,1.488776,0.037595,-1.117893,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
641083112,1763493607339252894,0.000000000,0.000000000,1,377707.228346,329745,33554432,0.000,1.488773,0.037586,-1.117896,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
648133771,1763493607346303554,0.000000000,0.000000000,1,377707.235346,329745,33554432,0.000,1.488771,0.037583,-1.117893,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
655187876,1763493607353357658,0.000000000,0.000000000,1,377707.242346,329745,33554432,0.000,1.488774,0.037589,-1.117893,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
662087703,1763493607360257485,0.000000000,0.000000000,1,377707.249346,329745,33554432,0.000,1.488781,0.037592,-1.117899,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
669195159,1763493607367364941,0.000000000,0.000000000,1,377707.256346,329745,33554432,0.000,1.488794,0.037596,-1.117898,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
676071116,1763493607374240898,0.000000000,0.000000000,1,377707.263346,329745,33554432,0.000,1.488802,0.037592,-1.117892,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
683271183,1763493607381440965,0.000000000,0.000000000,1,377707.270346,329745,33554432,0.000,1.488809,0.037573,-1.117896,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
690180954,1763493607388350737,0.000000000,0.000000000,1,377707.277346,329745,33554432,0.000,1.488814,0.037575,-1.117893,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
697069393,1763493607395239193,0.000000000,0.000000000,1,377707.284346,329745,33554432,0.000,1.488805,0.037570,-1.117888,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
704101645,1763493607402271427,0.000000000,0.000000000,1,377707.291346,329745,33554432,0.000,1.488783,0.037564,-1.117900,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
711185175,1763493607409354976,0.000000000,0.000000000,1,377707.298346,329745,33554432,0.000,1.488764,0.037570,-1.117907,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
718075891,1763493607416245674,0.000000000,0.000000000,1,377707.305346,329745,33554432,0.000,1.488748,0.037565,-1.117914,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
725130885,1763493607423300667,0.000000000,0.000000000,1,377707.312346,329745,33554432,0.000,1.488743,0.037565,-1.117925,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
732201007,1763493607430370790,0.000000000,0.000000000,1,377707.319346,329745,33554432,0.000,1.488736,0.037559,-1.117925,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
744637963,1763493607442807060,0.000000000,0.000000000,1,377707.326346,329745,33554432,0.000,1.488740,0.037550,-1.117923,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
746102032,1763493607444271814,0.000000000,0.000000000,1,377707.333346,329745,33554432,0.000,1.488746,0.037558,-1.117915,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
753215191,1763493607451384992,0.000000000,0.000000000,1,377707.340346,329745,33554432,0.000,1.488764,0.037564,-1.117906,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
760091296,1763493607458261079,0.000000000,0.000000000,1,377707.347346,329745,33554432,0.000,1.488774,0.037563,-1.117911,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
767083123,1763493607465252887,0.000000000,0.000000000,1,377707.354346,329745,33554432,0.000,1.488800,0.037548,-1.117900,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
774207487,1763493607472377269,0.000000000,0.000000000,1,377707.361346,329745,33554432,0.000,1.488820,0.037539,-1.117893,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
781185999,1763493607479355781,0.000000000,0.000000000,1,377707.368346,329745,33554432,0.000,1.488831,0.037515,-1.117883,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
788072252,1763493607486242034,0.000000000,0.000000000,1,377707.375346,329745,33554432,0.000,1.488837,0.037514,-1.117898,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
795083375,1763493607493253157,0.000000000,0.000000000,1,377707.382346,329745,33554432,0.000,1.488836,0.037505,-1.117895,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
802209109,1763493607500378909,0.000000000,0.000000000,1,377707.389346,329745,33554432,0.000,1.488839,0.037505,-1.117893,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
812675886,1763493607510845761,0.000000000,0.000000000,1,377707.396346,329745,33554432,0.000,1.488854,0.037505,-1.117880,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
816189633,1763493607514359415,0.000000000,0.000000000,1,377707.403346,329745,33554432,0.000,1.488849,0.037507,-1.117885,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
823227774,1763493607521397538,0.000000000,0.000000000,1,377707.410346,329745,33554432,0.000,1.488842,0.037512,-1.117878,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
830215101,1763493607528384809,0.000000000,0.000000000,1,377707.417346,329745,33554432,0.000,1.488822,0.037515,-1.117889,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
837059706,1763493607535229488,0.000000000,0.000000000,1,377707.424346,329745,33554432,0.000,1.488819,0.037518,-1.117873,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
844640420,1763493607542810276,0.000000000,0.000000000,1,377707.431346,329745,33554432,0.000,1.488801,0.037521,-1.117878,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
851097452,1763493607549267216,0.000000000,0.000000000,1,377707.438346,329745,33554432,0.000,1.488776,0.037517,-1.117869,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
858091760,1763493607556261413,0.000000000,0.000000000,1,377707.445346,329745,33554432,0.000,1.488770,0.037520,-1.117866,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
865178809,1763493607563348573,0.000000000,0.000000000,1,377707.452346,329745,33554432,0.000,1.488766,0.037525,-1.117873,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
872068136,1763493607570237844,0.000000000,0.000000000,1,377707.459346,329745,33554432,0.000,1.488782,0.037517,-1.117871,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
879095018,1763493607577264690,0.000000000,0.000000000,1,377707.466346,329745,33554432,0.000,1.488797,0.037508,-1.117867,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
886076419,1763493607584246202,0.000000000,0.000000000,1,377707.473346,329745,33554432,0.000,1.488800,0.037507,-1.117865,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
893098542,1763493607591268325,0.000000000,0.000000000,1,377707.480346,329745,33554432,0.000,1.488815,0.037499,-1.117875,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
900100536,1763493607598270300,0.000000000,0.000000000,1,377707.487346,329745,33554432,0.000,1.488820,0.037495,-1.117874,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
907125066,1763493607605294904,0.000000000,0.000000000,1,377707.494346,329745,33554432,0.000,1.488832,0.037501,-1.117872,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
914214356,1763493607612384119,0.000000000,0.000000000,1,377707.501346,329745,33554432,0.000,1.488825,0.037508,-1.117873,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
921118072,1763493607619287835,0.000000000,0.000000000,1,377707.508346,329745,33554432,0.000,1.488821,0.037502,-1.117866,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
928159676,1763493607626329440,0.000000000,0.000000000,1,377707.515346,329745,33554432,0.000,1.488808,0.037502,-1.117871,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
935093984,1763493607633263767,0.000000000,0.000000000,1,377707.522346,329745,33554432,0.000,1.488803,0.037505,-1.117868,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
942128681,1763493607640298464,0.000000000,0.000000000,1,377707.529346,329745,33554432,0.000,1.488802,0.037506,-1.117864,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
949208656,1763493607647378420,0.000000000,0.000000000,1,377707.536346,329745,33554432,0.000,1.488795,0.037499,-1.117860,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
