timestamp,lat,lon,alt,roll,pitch,yaw,vel_x,vel_y,vel_z
1760402314246381,0.000000000,0.000000000,0.000,0.608279,0.042255,-0.942996,0.000000,0.000000,0.000000
1760402314253259,0.000000000,0.000000000,0.000,0.608276,0.042260,-0.942988,0.000000,0.000000,0.000000
1760402314260298,0.000000000,0.000000000,0.000,0.608275,0.042261,-0.942983,0.000000,0.000000,0.000000
1760402314267370,0.000000000,0.000000000,0.000,0.608275,0.042268,-0.942980,0.000000,0.000000,0.000000
1760402314274257,0.000000000,0.000000000,0.000,0.608273,0.042271,-0.942975,0.000000,0.000000,0.000000
1760402314281311,0.000000000,0.000000000,0.000,0.608266,0.042272,-0.942979,0.000000,0.000000,0.000000
1760402314288189,0.000000000,0.000000000,0.000,0.608264,0.042272,-0.942981,0.000000,0.000000,0.000000
1760402314295287,0.000000000,0.000000000,0.000,0.608261,0.042284,-0.942988,0.000000,0.000000,0.000000
1760402314302327,0.000000000,0.000000000,0.000,0.608260,0.042286,-0.942990,0.000000,0.000000,0.000000
1760402314309208,0.000000000,0.000000000,0.000,0.608260,0.042288,-0.942989,0.000000,0.000000,0.000000
1760402314316259,0.000000000,0.000000000,0.000,0.608264,0.042296,-0.942988,0.000000,0.000000,0.000000
1760402314323473,0.000000000,0.000000000,0.000,0.608266,0.042294,-0.942988,0.000000,0.000000,0.000000
1760402314330291,0.000000000,0.000000000,0.000,0.608265,0.042293,-0.942988,0.000000,0.000000,0.000000
1760402314337237,0.000000000,0.000000000,0.000,0.608269,0.042289,-0.942980,0.000000,0.000000,0.000000
1760402314344275,0.000000000,0.000000000,0.000,0.608275,0.042288,-0.942986,0.000000,0.000000,0.000000
1760402314351311,0.000000000,0.000000000,0.000,0.608269,0.042287,-0.942996,0.000000,0.000000,0.000000
1760402314358347,0.000000000,0.000000000,0.000,0.608263,0.042282,-0.943008,0.000000,0.000000,0.000000
1760402314365244,0.000000000,0.000000000,0.000,0.608257,0.042273,-0.943007,0.000000,0.000000,0.000000
1760402314372314,0.000000000,0.000000000,0.000,0.608258,0.042280,-0.943000,0.000000,0.000000,0.000000
1760402314379352,0.000000000,0.000000000,0.000,0.608262,0.042281,-0.942989,0.000000,0.000000,0.000000
1760402314386232,0.000000000,0.000000000,0.000,0.608259,0.042277,-0.942989,0.000000,0.000000,0.000000
1760402314393270,0.000000000,0.000000000,0.000,0.608268,0.042269,-0.942985,0.000000,0.000000,0.000000
1760402314400324,0.000000000,0.000000000,0.000,0.608266,0.042271,-0.942979,0.000000,0.000000,0.000000
1760402314407208,0.000000000,0.000000000,0.000,0.608270,0.042269,-0.942990,0.000000,0.000000,0.000000
1760402314414245,0.000000000,0.000000000,0.000,0.608269,0.042269,-0.942995,0.000000,0.000000,0.000000
